itemname,tablename,action,condition,status,description,tags,notes,RunTime
Dallas - Repairs,ProductionConstraints,ConstraintValue=ConstraintValue*0.5,"(PeriodName LIKE 'Period 02*' OR PeriodName LIKE 'Period 03*') AND (FacilityName LIKE 'D_USA75212_67095*') AND (Notes = 'Repair_Capacity')",,,,,2023-04-14 13:17:22
Dallas - Storage - Monthly 50PCT,InventoryConstraints,"Status='Include'","Notes = 'Depot_Capacity_Dallas_Monthly'",,,,,2023-04-14 13:17:22
Dallas - Repairs - 100 PCT,ProductionConstraints,ConstraintValue=ConstraintValue*0,"(PeriodName LIKE 'Period 02*' OR PeriodName LIKE 'Period 03*') AND (FacilityName LIKE 'D_USA75212_67095*') AND (Notes = 'Repair_Capacity')",,,,,2023-04-14 13:17:22
Dallas - Storage - Monthly 100PCT,InventoryConstraints,ConstraintValue=0,"(PeriodName LIKE 'Period 02*' OR PeriodName LIKE 'Period 03*') AND (Notes = 'Depot_Capacity_Dallas_Monthly')",,,,,2023-04-14 13:17:22
Dallas - Throughput - Flow,FlowConstraints,"Status='Include'","(ExpressionName LIKE '*D_USA75212_67095*' OR ExpressionName LIKE '(ALL_Customers)_MaxOutbound_*' OR ExpressionName LIKE 'Depots_MaxOutbound_Period *')",,,,,2023-04-14 13:17:22
Dallas - Throughput - Expressioin,UserDefinedConstraints,"Status='Include'","ConstraintName LIKE '*D_USA75212_67095*'",,,,,2023-04-14 13:17:22
Monthly Adj_Add Storage at MFG (Newton Period 07),InventoryConstraints,"Status='Include'","(FacilityName LIKE 'D_USA35490_54027*') AND (Notes = 'Depot_Capacity_InfeasbilityFix')",,,,,2023-04-14 13:17:22
Infeasibility Fix - Newton Period 7 Inventory Capacity,InventoryConstraints,"Status='Include'","(FacilityName LIKE 'D_USA35490_54027*') AND (Notes = 'Depot_Capacity_InfeasbilityFix')",,,,,2023-04-14 13:17:22
Monthly Repair Variance - 010 - Production,ProductionConstraints,"Status='Include'","Notes = 'RepairsPerMonthVariance'",,,,,2023-04-14 13:17:22
Adjusted Manufacturing - Cottondale - Base,ProductionConstraints,"Status='Exclude'","(FacilityName LIKE 'D_USA35401_46146*') AND (Notes = 'SOIP_MFG')",,,,,2023-04-14 13:17:22
Adjusted Manufacturing - Cottondale - Revised,ProductionConstraints,"Status='Include'","(FacilityName LIKE 'D_USA35401_46146*') AND (Notes = 'SOIP_MFG_Adusted')",,,,,2023-04-14 13:17:22
Adjusted Manufacturing - Q4 - Base,ProductionConstraints,"Status='Exclude'","(PeriodName LIKE 'Period 01*' OR PeriodName LIKE 'Period 02*' OR PeriodName LIKE 'Period 03*' OR PeriodName LIKE 'Period 04*') AND (FacilityName LIKE 'D_MEX66052_75924*' OR FacilityName LIKE 'D_USA22546_46488*' OR FacilityName LIKE 'D_USA35490_54027*' OR FacilityName LIKE 'D_USA92509_75652*' OR FacilityName LIKE 'D_USA97133_42849*') AND (Notes = 'SOIP_MFG')",,,,,2023-04-14 13:17:22
Reduced_Rates_toFair,TransportationPolicies,FixedCost=FixedCost*0.74,"RateUsed LIKE 'MarketRate*'",,,,,2023-04-14 13:17:22
