scenarioname,status,description,tags,notes,RunTime
Baseline,Include,,,,2023-04-14 13:17:15
SOIP Optimize (12 Month) (Offset Low Inventory),Include,,,,2023-04-14 13:17:15
SOIP_Optimize (Quarterly),Include,,,,2023-04-14 13:17:15
SOIP (12 Month) (Dedicated Overrides MultiSourcing),Include,,,,2023-04-14 13:17:15
SOIP (6 Month),Include,,,,2023-04-14 13:17:15
SOIP (AOP 2023) (Dedicated Overrides MultiSourcing),Include,,,,2023-04-14 13:17:15
SOIP (AOP 2023 MFG V2) (Dedicated Overrides MultiSourcing),Include,,,,2023-04-14 13:17:15
SOIP (Quarterly),Include,,,,2023-04-14 13:17:15
SOIP (12 Month),Include,,,,2023-04-14 13:17:15
SOIP Optimize (12 Month),Include,,,,2023-04-14 13:17:15
SOIP Optimize (12 Month) (Less Account),Include,,,,2023-04-14 13:17:15
SOIP Optimized ? Less 81399,Include,,,,2023-04-14 13:17:15
SOIP Optimized ? Less 81384,Include,,,,2023-04-14 13:17:15
